sentences,labels
"With Oil Prices Down further, Oil Stocks Looking Less Cheap",0
got some more,2
Favorite Stocks,2
BUY,2
run run $AMZN up 4.4% now,2
consumers keep cautious stance,0
"all on a longer-term, technical swing long basis.",2
$FB is taking the shine off $AAPL and $GOOG,0
broken out of a major horizontal resistance,2
Pie In The Sky,2
Balancing ROIC and growth to create value,2
Locked in some $FB puts for nice gain,0
"we close around $34 it's a good sign, Tom we can continue upwards!!",2
$NFLX more positive comments from $MS,2
Stochastic Overbought,0
"not all time low , been lower",0
"if one is to go long, money rotating into large cap tech",2
"looks great, bullish",2
starting to show some relative strength,2
Time to stomp on some dreams.,0
If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros,2
more test of 12.85 coming up,2
RSI lowest level since October 2012,2
Long setup,2
Baird Upgrades Tesla Motors $TSLA to Outperform,2
"my 18 year old and 14 year old are never on $FB , Their mom and grandmas are though",0
Sector Stocks Leading Today,2
$YOKU 0,1
may not be as secure,0
The Best Stocks for 2012,2
"Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2",2
today's momentum movers,2
Google Will Soon Start Selling Chromebooks At Walmart And Staples,2
Found some good bull setups this week,2
holding up relatively well compared to the broad market,2
less than stellar day but it held the 50 day moving average,0
A beautifully orchestrated marke,2
up 7$,2
Cures 96% of Hard-to-Treat,2
"Long, buying point",2
,1
let it run,2
Yahoo extends bidding deadline as interest grows,2
,0
Today I bought more,2
you will enjoy the bull run that just started,2
Issues Statement On Debt Ceiling,0
there's a good short spot,0
"Worst performers today,  $MGM $IO -6%",0
Insiders Are Selling,0
good news for domestic automakers,2
can ONE of the cheerleaders show me actual valuation work,0
up to $95 after market!,2
Buying on Weakness,2
Three of my hot stocks today,2
Ready for Take OFF!,2
Report: Apple signs up for Google's cloud,2
Short Setups Looking Nice....Really Nice,0
short $MBLY,0
will push $NLY investment to another time,0
Notable gainers among liquid option names this morning,2
looking to add a gold miner and possibly lower pe tech name into close,2
point at a possible move up,2
they let the stock fall big time after earnings,0
not selling before,2
tremendous opportunity awaits,2
"up 10% in premarket, ready for lift off",2
the overall market improve,2
gots some $AEZS this morning,2
Erinn Murphy of Piper Jaffray thinks $FINL is a BUY,2
"longer term top building, now a quickie short",2
debt crisis entered a dangerous new phase,0
$MU may go down 6% if the bear pattern is confirmed,0
"looking good, Note that it broke this area on lighter volume",2
cracking,0
Bullish MA Crossovers,2
"still an interesting finance play, been in this one since the 14's- hold",2
"broke the downtrend line, ready to launch through the 200 day moving average",2
some of the stocks that came up on screens for longs,2
Defying the Downturn,2
soars pre-market,2
This stock is a buy,2
PAIN,0
hi beta hi performers,2
in trouble ? is that earnings gap still unfilled ?,0
"calls for nice gains, Still holding, Week made in a morning",2
"Long, look like a 5-10% run awaits",2
"bull move ended, waiting for next setup",0
trying to lead higher here,2
bought back more shares here today,2
"getting very close to 200 MA of 110.87, hasnâ€™t closed above 200 MA since July 31, 2015. If / when it does, will be significant.",2
"addding tsla ss , added small vrx long $TSLA $VRX",2
sold xoma,0
nice blurb for $BBRY,2
What a nice reversal.,2
I'm watching(and buy targets),2
Don't catch falling knives,2
Barclays signs on to Apple Pay,2
looking weak,0
Markets Are Still Acting Weak,0
"short/put positions looking good here, Wait for market downturn to confirm",0
bullish $NFLX day trade setup,2
Unusual Call Activity,2
Institutions seem to like this class of stocks,2
"loading $SPY and $AAPL puts, think were toppy",0
watch $TSLA > 34.5,2
still in bear market,0
China winners,2
stock options trade would have more than doubled your money,2
"master class on how to conquer mobile, astonishing, turned their fortunes around",2
got hit hard lower this AM,0
biggies must be loading up here at lows,2
has a hard to diminish lead,2
Inverse Head and Shoulders forming,2
weak outlook,0
"Indices are rallying today, a lot of the 'highly covered companies' are underperforming",0
$GPRO up,2
Embarrassing China numbers,0
Possible target,2
"Rally Friday!, #new52weekhighs, p over 31%",2
"Long setup, Closed above the 20MA",2
"CLOSED GREEN!!!!, BULLISH!",2
,1
bumping its head on declining daily 8ma as overhead resistance,0
At least you didn't stop out,0
finds support,2
Long-Term Potential Robust,2
hopefully peeps shorting $CAMT for scalps,0
Now it is time to short $TSLA,0
keep stock on your watch list,2
gap up tomorrow,2
"demand ahead, strongest growth",2
Our updated #core4 portfolio,2
new HOD with conviction keeping $570 on watch for Resistance,2
long the market,2
acting tough on big volume against the tape,2
Best outperformers ranked,2
Infection worries prompt regulatory reviews,0
"Back to Back intraday reversals, look out below, Shorts moving in!",0
Weekly 625 calls now +42.31%,2
has been a bull and $gld a bear,1
Watchlist Top Stocks,2
"I would consider this opportunity to add my position, company is on the right track they are still improving sales",2
Markets Are Still Acting Weak,0
bear flag,0
took some $ENDP long this am,2
Yes buy everything up,2
Brent back below 49,0
A Premier Retail Dividend Play,2
"beat, up AH",2
"shipments slid -9.6% to lowest quarterly total since 2007, dethrones",0
long,2
Bullish MA Crossovers,2
the most trending,2
Unusual Call Activity,2
Nice day rally!,2
Added long at friday close,2
"Looks like might break down, I'm out",0
"Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2",2
Pushing Channel Development,2
bot $EZPW,2
"Like this >, trade to 200 sma",2
short,0
CHUNK OF DEC $35 PUTS BOUGHT AT,0
Not Time To Buy,0
round 2 short,0
"580+ should be coming very quick, if the FED supports the markets 610",2
debt crisis entered a dangerous new phase,0
some of the stocks that came up on screens for longs,2
Sector Stocks Leading Today,2
short the market,0
Airplane And Hospitality Industries Set Their Sights On #Cuba,2
"Over 16 with conviction,  I'm a buyer, good for ride to 20",2
$NFLX at $44B,2
Seeing Competition,0
"Some competitors worry that BlackBerry is the inevitable successor to Northern Telecom, much more competent leadership",2
Moved Upper Bollinger Band,2
Unusual Call Activity,2
4 shorts only,0
TOP 5 STOCK PICKS,2
tired of seeing this go down,0
"ascending base breakout starting to gain traction, strong stock",2
have enjoyed shorting Anglo these last few weeks,0
Top holdings,2
$AAPL cleary surpassed their BB,0
all going down,0
Stochastic Overbought,0
Expands Share Repurchase Program,2
"Play safe, be long, Just make sure you don't go long with all your money.",2
Covered,2
"Bullish yeah, $EWZ",2
Closed short position,2
Why $TWTR is doomed in 1 chart,0
New RSI signal created on $COST - Buy,2
"Global PC shipments fell 9.6% in Q1, $MSFT destroyed the PC market",0
holding up well today,2
Unusual Call Activity,2
all higher,2
"Deutsche Bank: cuts #Starbucks to Hold, premium valuation",0
stocks at support w/ high trade quality,2
gapping up to all time highs,2
downgrade,0
NetApp downgraded by Macquarie to underperform,0
short the $TSLA,0
"shipments slid -9.6% to lowest quarterly total since 2007, dethrones",0
"Fed cuts rates forecast, Our calls go 100%",2
"lost revenue, not good",0
Finding Support,2
"confirmation is a hold , bottom looks like",2
Sounds like we'll see some green tomorrow,2
closed Friday with the RS line in new highs,2
"Beautiful trend/base, all technicals pointing up, Solid accumulation, Looks good",2
Airplane And Hospitality Industries Set Their Sights On #Cuba,2
$AAPL signs up with Google cloud,0
"heading back down to, Not sure where this goes from here without news",0
over 225 million new Internet users are being added globally every year,2
Unusual call buying,2
obby against Judge Garland or they risk losing the case,0
probably long,2
Unusual Call Activity,2
Loooooongggggg base,2
$PYPL w/ a solid start in #ecommerce checkout,2
"want to go this morning, it's about time looking at the chart",2
breaking out,2
"Nobody is recommending the sale of this stock, Big things coming",2
"all on a longer-term, technical swing long basis.",2
buying my last round of shorts next week,0
This stock is such a winner,2
Pivotal upgrades Alphabet ahead of Q1 results,2
Monday sold,0
only those with the stomach for high risk are left,0
Men sell $SVXY puts,2
was still up on the screen,2
"some upside today, If there is catalyst for this guy. It can run",2
shorts made a killing last couple days,0
Will be looking to add shares if we get a new high breakout,2
atching SPY 60 min STO for a push,0
#whisperbeat,2
BMW entering into ride-share market with i3,2
"Rally Friday!, #new52weekhighs, p over 31%",2
staying strong,2
Can $TSLA roll over yet?,0
Stock Receives Ratings Downgrade Today at Jefferies,0
"Looks weak now, Stay Short in SPY till then.",0
"small pos, short 180 wkly puts",0
downward trendline,0
"isn't cheap, Wake me up when it's in the 20s, then it's worth a look.",0
they have real assets,2
Finding Support,2
Buy these 3 stocks while there's blood in the streets,2
Risky move,0
Great short entry right now,0
"Google, Inc. completes acquisition of ICOA",2
Stocks Higher In Afternoon Trade,2
Looking for continuation with volume increase,2
Top #NetPayoutYields,2
actively Head & Shoulder in progress,0
"with personal story sharing declining, will $FB feeds start to look more like $TWTR",0
worst performers,0
not dipping - testing the 200 day ma,2
Bad Apple,0
,1
should reward better on good earnings,2
daily sales slowing again,0
In play tmrw,2
Sector Stocks Leading Today,2
bidding war picks up for the company,2
"is now beaten down, hated",0
China winners,2
Announces Record #Esports Viewership,2
"shares up ~7% after hours, beats by",2
"seriously nothing says strong growth like, well played",2
Call credit spread,2
"they are hitting everything in sight., short it",0
bought 3500 shares today!,2
LNKD is great but doesnt the potential side with Fb,2
"short somewhere in the high, his thing will b short to $3 soon",0
#iPhone is really annoying.,0
Bought more - Bought $FB at,2
only a 50% gain from these levels,0
companies shld be worried about iCloud,0
"indicators turning up, Bounced off support",2
"US Adds 321K Jobs In November, Unemployment Rate Remains At , Gold Futures off",2
massive logistics capex result in missed earnings,0
great company,2
long $AAPL,2
on the move up again,2
"ooks like nice risk/reward for starting to initiate a position, looks like nice risk/reward for starting to initiate a position",2
Favorite Stocks,2
start strong finish weak,0
buy $WFM,2
Elon Muskâ€™s Comparision Of $TSLA With $AAPL Doesnâ€™t Go Well,0
run run $AMZN up 4.4% now,2
Covered Call,2
earnings were good,2
tremendous opportunity awaits,2
downgrade,0
$FB and $IBB still weak,0
Dividend Hike Green Light,2
guess everyone wants 620,2
Good to load up Be confident,2
long,2
Aggressive Buy,2
Highest call to put ratio,2
short,0
"As for $TWTR, no words.",0
"Stream too bullish, you are going against the biggest BILLIONS",2
nice in an out couple mini trades,2
"Short 61.8% Retracement, Trendline and Resistance",0
"$TSLA recall, after I cover my short.,  that sounds about right",0
breakouts,2
Looking for a oversold bounce,2
"topping tail, short from here",0
NaturalGas Settles At 3-year Low,0
"its a decent Co should get bought, Got in at $4.50",2
"doesn't make any real money, hey barely hang on,  bux it's not worth it",0
"Long, buying point",2
no trade for now,2
support 212.93 no support to 209.45,2
$AAPL a new long IF 110.61 is broke,2
Analysts impressed with progress,2
#offshoring #jobs & #production,2
stocks insiders are bullish on,2
Time to stomp on some dreams.,0
Biggest gainers today large caps,2
great short setting up,0
holding up well today,2
stocks insiders are bullish on,2
$TSLA dump!,0
Highest call to put ratio,2
Don't short this stock,2
There is massive short squeeze opportunity here,0
with ex-dividend coming it will fall more,0
Impressive numbers,2
Micron Shares Pounded On Fears Of Loss Of Business From Apple,2
Today's losers,0
Covered all my $sina shorts,2
$GRPN might be selling off ahead of $P earnings,0
I am excited about all these plays,2
I sold $TSLA,0
I've been picking up railroad stocks for the retirement acct,2
LONGS,2
2 retailers whose stocks I own,2
downgrade,0
"$TOL, Higher",2
75k just went through on the ask,0
Bottom Losses,0
short didnt work out,2
Best outperformers ranked,2
$TSLA is the only 'auto' stock showing a gain year-to-date,0
breakout very likely,2
my buddy bet the bank,2
all going down,0
Considering Bid,2
Almost an outside day down,0
5 Toxic Stocks Raising Red Flags to Sell,0
high risk but could be a sweet ST runner once the jigginess exits,2
is waking up,2
Not Time To Buy,0
trying to lead higher here,2
"Indices are rallying today, a lot of the 'highly covered companies' are underperforming",0
So many traders short,0
Multi-year stock breakouts,2
fast 56pc dive,0
resistance breached last week,2
Fast Money says short ahead of Black Friday,0
got to short that even at work you jump in money trade,0
"#Tesla: Great Company, Bad #Stock $TSLA",0
,2
recall model X,0
Barclays signs on to Apple Pay,0
Could offer support revisit to jump on long bus?,2
very tight on the avail stock for shorting,0
Announces Sale of Partial Stake,2
down 20% in after-hour market,0
Biggest gainers today large caps,2
"Big Drop in Hedge Fund Exposure to Market, Even sharks don't trust this market",0
short some,0
ended the day down,2
"2nd raise this year., ncreases Quarterly Cash Dividend 20 Percent",2
Getting ready to sell some premiumm,0
Stochastic Overbought,0
$KNDI China electric car maker. China car sales +7.8%.,2
"Looking for a strong bounce, Lunchtime rally coming",2
"Looking for a strong bounce, Lunchtime rally coming",2
Cisco-Synata deal is a game-changer $CSCO,2
running into cloud bottom,0
next Q will be a good short,0
Reasons for caution about Chinese stocks,0
ready to pop!,2
The Baltic Dry Index has only been lower than this 8 days in 30 years,0
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family,2
working on Cuba deals,2
Sounds bullish,2
$AAPL a new long IF 110.61 is broke,2
giddy up!,2
"Holy green day batman, luv it when a plan comes together",2
$TWTR Fck you Bird!,0
Sold: $CELG $AGIO,0
"Rally Friday!, #new52weekhighs, p over 31%",2
Seems like a good short setup,0
Unusual Call Activity,2
EPS growth is around 12% so far,2
Moved Upper Bollinger Band,2
breaks major support,0
Look at that $AMZN > 600,2
Sold all:,0
up almost 11% now,2
"Bricks and Mortar retailers selling cheaper, +consumer -retailers",0
mkt should stableize a little,2
"Santa Rally, blow off top",2
now a cloud software company. How the company transformed itself,2
ended the day down,0
closed Friday with the RS line in new highs,2
still in bear market,0
bearish engulfing candle,0
Tomorrow party time for the Bears!!,0
big $QQQ up day,2
slipping,0
the selling days appear exhausted,2
shorts start quietly covering,2
zigzag and reversal scenario,0
AUG 645 calls +550%,2
"the parties over, volatility is back",0
huge buy in all these names,2
go up 16% on no news,2
downgrade,0
breaking out,2
In Play Longs,2
"earning play $fast 47 puts, $vrx 34 puts , $bidu 182.5 puts",0
Sinks to 35,0
magically bought at under a dollar,2
continues to consolidate,2
Stares Into the Abyss,0
2 retailers whose stocks I own,2
Covered my small $MWW short,2
Found some good bull setups this week,2
start strong finish weak,0
"raises Q2, FY12 guidance",2
I'll take the other side of that trade,2
massive recent recovery toward new highs should give the real shareholders encouragement on questcor,2
Wilful infringement does not go into calculations of patent damages $AAPL,0
Report: Apple signs up for Google's cloud,0
Sector Stocks Leading Today,2
First quarter is amazing,2
Biggest gainers today large caps,2
If that's what you want then buy some,2
pushing to 12,2
this is going to end in the red,0
stocks at support w/ high trade quality,2
issues already priced in,2
may rebound faster,2
Guess the late traders will be stocking up on $TSLA,2
near a 3% drop thats a lot,0
Sold all:,0
"Rally Friday!, #new52weekhighs, p over 31%",2
may be ripe for a #takeover targe,2
on watch for everyone on Tuesday night for a serious breakout,2
"With Oil Prices Down further, Oil Stocks Looking Less Cheap",0
Stochastic Overbought,0
betting that $GOOG buys Twitter,2
Highest call to put ratio,2
all going down,0
ended the day down,0
Breakout in Regional Banking,2
is somewhat tempting on the long side here,2
New bullish conversation activity,2
Both look good to me,2
careful can reverse fast,0
SHORT,0
Good to load up Be confident,2
"who won't pay anymore, REAL risk",0
If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros,2
"Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise",2
"Support here @ 50sma, Good long trade, tight stop",2
Report: Apple signs up for Google's cloud,2
"get up out of that Bermuda Triangle, plenty of daylight above",2
Institutions seem to like this class of stocks,2
-0.75% #trading weak,0
Going to be EPIC,2
"Good thing, $SNE has learnt this and is integrating their devices together with the TV",2
Still the top dog,2
stock has 41% upside from here,2
Nice day rally!,2
"$LTM Selling far from over, a large bearish channel up formed",0
Nice start,2
Closed Buy,2
Another Sell Rating,0
"valuation downgraded today, would imagine this will trade red at least for a day",0
$TSLA short,0
"$TROV reliably finding cancer mutations, jackpot",2
downgrade,0
"Nice little cup-and-handle shaping up, favours a good day for the index",2
I blew out $ZMH,0
"LOOKS like we are bouncing, Nice volume from 5.77 bottom",2
BlackBerry Messenger is second only to Facebook in user loyalty,2
"wayyy overvalued right now, May take a short pos",0
"Gaining Momentum!, Nice buy signals here! , Long Over",2
Surges On Deal,2
long this morning,2
"trade continuing very nicely from yesterday, looking very strong here",2
slow-motion disruption of the global auto industry,2
BTO three 110 puts @ 1.34,0
Apple's iPhone SE: The Sold Out Flop,0
Potential intermediate top in an Uptrend,2
stocks at support w/ high trade quality,2
closng higher from here,2
short-term forecast is now bearish,0
Take it while you can,2
lets see 14+ today,2
"bought CALL OMNIVISION TECH, Should beat earnings",2
Pie In The Sky,2
EPS growth is around 12% so far,2
"Could the pride of social media be gettin ready to fall?, chart rolling over?",0
producing a Bullish MACD Xover,2
no more buys,2
,1
Market getting crushed today,0
Today I bought more,2
bidders line up,2
LED light bulb prices rise in Japan,2
expecting $SPY to close above,2
"down 1.1%, short of expectations",0
Short Setups Looking Nice....Really Nice,0
LONGS,2
notice how the doomsaying bears disappear during the climbs,2
"recessions, declines",0
watch is showing serious demand,2
new 'large player sells',0
Biggest Market Losers,0
Prob a buy if it does,2
and is overbought,0
put money in $hznp better option,0
"sales exceed target, profitability guidance amended upward",2
Goldman Sachs reiterates conviction buy on,2
red before the bell,0
stock will hit $170 easily,2
Downbeaten stocks may be ripe for buys,2
buy safety equipment maker for $2.5 billion,2
weak close,0
"looks like it could be about to fall apart, market not liking , bad business",0
,1
shorts are getting nervous,2
Facebook has now been down 10 minutes,0
Monday Bulls Are Out!,2
today's top gainers,2
Tesla Motors recalls,0
Aggressive Buy,2
"mentioned as potential suitee, suitor",2
We See More Reasons To Be Cautious,0
Do you really think in 4 weeks they capture 10%? Impossible.,0
Friday was last chance under $2,2
excellent / factual bear argument,0
Bears Take a Clear Near Term Advantage,0
relative weakness is pretty apparent,0
Don't think buyout rumor strong enough too be driving this up just yet,0
$YHOO +2.61%,2
$TPLM Triangle #Petroleum 9.80+3% 2M Expanding Caliber,2
Downbeaten stocks may be ripe for buys,2
downgrade,0
ISRG Short,0
$POZN +30,2
"-2.10% vs -0.90% Est, Prior Revised from 25.40% to 17.60%",0
Daily Mail enters competition to acquire Yah,2
Stocks Higher In Afternoon Trade,2
Watchlist Top Stocks,2
"wants to ta, CEO says taxes may make co leave",0
$VIAB down 40%,0
"Sudden optimism about iPhone sales, not as bad as expected, gives Apple $AAPL a lift",2
"Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise",2
Monday sold,0
"earning play $fast 47 puts, $vrx 34 puts , $bidu 182.5 puts",0
Bullish MA Crossovers,2
Watchlist Top Stocks,2
looks constructive,2
"$UNT trying to break out of 5 day range, $SDRL 3.69 long",2
Today I bought more,2
"Failed breakouts & failed setups, Limping on crutches into next week",0
"shorting here into close might be play, high beta reversing",0
"long play, another consistent profit zone",2
good for economy,2
today's bull flag,2
Inside week buy triggers,2
Insiders Are Selling,0
"Long, buying point",2
Insiders Are Selling,0
revenue grew double-digit,2
"hangin on my a thread, click away from a cliff drop",0
Long $TSLA,2
"recalls 2,700 Model X cars",0
"is in the process of streamlining its structure, especially through divestment of non-core businesses",2
In Play Longs,2
"MACD and ADX are crossing over the signal lines!, Long Setup",2
"Yahoo, Facebook in Ad Partnership Talks",2
Buy the dip',2
About to break out on the 5-min,2
"Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2",2
"Moves on both sides possible, Stay nimble and cautious",0
"Fed cuts rates forecast, Our calls go 100%",2
"the parties over, volatility is back",0
"up almost, up around",2
$LEI Higher,2
Breakout watch,2
adding to position here,2
Brutal slide,0
Looks good on the weekly chart,2
holding up relatively well compared to the broad market,2
covered the swing,2
Bullish MA Crossovers,2
Top Stocks in 2015 are Ready to Lead Again in 2016,2
making new HOD,2
"defect,  recalls",0
Most bullish stocks on Twitter during this dip,2
"strong move today for the Junior Gold Miners, keep an EYE out for a gap fill",2
Tomorrow party time for the Bears!!,0
"It is cheap.,  increasing fees again, could be good",2
Insiders Are Selling,0
Why The Coal & Shipping Sectors Could Rise Again,2
small businesses have called $YELP a scam for years,0
weekly 120 puts +283%,0
"looking good, Calls are active",2
I may try a short,0
Equity indexes working on a positive engulfing for March,2
"and it will continue, using this profits that no one in the industry can get to innovate and develo",2
To Combine In $37 Billion Deal,2
Another quiet week,1
Deutsche Bank downgrades,0
near-term target $77.38,1
$FB is taking the shine off $AAPL and $GOOG,2
holding up nicely,2
Bought $FB $111 calls,2
airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU,2
accuses $ZNGA of copyright infringement,0
mrkt needs to washout,0
Airplane And Hospitality Industries Set Their Sights On #Cuba,2
"shipments slid -9.6% to lowest quarterly total since 2007, dethrones",0
#joke #bubble #buyerbeware,0
$AZPN is worth $20 a share not $40,0
Come on and run with the bulls today,2
$WFC -8.30%,0
5 Best Analyst Rated Stocks,2
nothing investors can do to damage Apple,2
"Don't underestimate Mark, Bounce off 50sma daily",2
Unusual Call Activity,2
"recessions, declines",0
buying my last round of shorts next week,0
buy more on the weakness?,2
Good time to buy,2
the most trending,2
Express Scripts loses,0
debt crisis entered a dangerous new phase,0
then shorted it down.,0
"Bullish yeah, $SMH",2
Call sweepers stepping up this morning,2
"Failed breakouts & failed setups, Limping on crutches into next week",0
so i can add more,2
hearing rumours of a major joint venture announcement,2
$NLSN launching a marketing cloud,0
Moody's downgrade,0
Tesla dropped a hard J this morning,0
"15 years after release, Windows XP is still the 3rd most popular OS",2
"weakness could be opportunity, Good to sell Nov Put for re-entry",2
citing positive spending trends,2
"isn't going anywhere, buying",2
Sector Stocks Leading Today,2
In Play Longs,2
it shoots to the MOON as my favorite pumper,2
Best performers,2
Equities recently tagged #undervalued,2
shorts breakin flag,2
"do i have enough shares ???, this beast keeps moving",2
added to $DNKN (longs),2
Bears Take a Clear Near Term Advantage,0
TOP 5 STOCK PICKS,2
"People still coming in, his EOD could be explosive shorts get caught",2
< Money-Losing$ OverValued China IPO Junk,0
Bigger win for,2
"honestly, it's been disappointing",0
over 225 million new Internet users are being added globally every year,2
Grab it while it's cheap,2
"adding $expe and $pcln to the mix soon, I already have $CTRP and $trip",2
Short Setups Looking Nice....Really Nice,0
t's time to short at this point,0
"today aside setting up for another drop, Overvalued sector",0
the most trending,2
bail out,2
$TSLA is the only 'auto' stock showing a gain year-to-date,0
ready to break $QCOM watching at 55.7,2
bearish charts keep getting worse.,0
making all kinds of gains ????,2
looking to add a gold miner and possibly lower pe tech name into close,2
looking weak and possibly ready to 'let go',0
Marriott wins new Starwood deal by raising cash portion of bid,2
Looks like one of the best values #Lithium stocks in the space,2
Watchlist Top Stocks,2
soars pre-market,2
"$BBRY smack down looks legitimate, $GS $MS, are playing ignorant",0
"allow for the growing middle class, working with",2
Will we see $410 again,2
"Bricks and Mortar retailers selling cheaper, +consumer -retailers",0
"Oil To Break Out, Adding Chevron",2
under $2 today?,0
Falls 18% Pre-Market on Q3 Sales Results,0
"growing customers globally, e stay long",2
Little-Discussed Problem This Pro Is Watching At,0
an upward movement is expected,2
Market seems stuck in the mud,0
will get in on the next run up,2
"Fed cuts rates forecast, Our calls go 100%",2
Buy the dip',2
"next year could be a very good year for them, would like to start adding soon",2
"Stock Trading Lower Today , Warning After Upbeat Earnings Results",0
bear raid,0
curing #overbought conditions,0
Launch Updated Model S With Steeper Price Tag,2
getting kneecapped by $BEXP selling itself dirt cheap,0
$AMZN is becoming more and more the go-to site for almost all categories in ecommerce.,2
"Alibaba invests in Southeast Asian retailer Lazada, $EFUT",1
getting sold here.,0
the most trending,2
$AAPL could pick em up too.,2
"Higher In Afternoon Trade, Buy Point",2
$AAPL a new long IF 110.61 is broke,2
puts came in,0
record number of passengers served in 2015,2
ure has lots of attractive suitors,2
delivering the goods again let's see if that can spill over in other chinese internet names,2
"on lows, down",0
could be lotto winners,2
Buy the dip',2
A good place to take a shot,2
5 Reasons Not to Buy Gold,0
"In oversold conditions, howing now nice positive divergences on chart, Potential Bounce",2
stocks at support w/ high trade quality,2
"Buying $fas last week was the play of the month, Wish i woulda pulled the trigger",2
"Slow bleeding death, It will likely be a horror show event",0
SolarCity customers can produce enough electricity to power Tesla fleet,2
$YHOO bidding heats up,2
Nice day rally!,2
"Sector has been taking a beating recently, could be positive here, will catch a bid today",2
Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight,2
downgrade,0
BMW entering into ride-share market with i3,2
"hope kog shorters learned a lesson, dont mess with this bear",2
"has a 42.71% Float Short. Lo, http://stks.co/e0DfP",0
interest level has skyrocketed here the last two week,2
new PM high,2
Nice day rally!,2
long on,2
333.0% increased bullish conversations,2
Accumulating,0
Stochastic Overbought,0
Daily Mail And General Trust eyeing Yahoo!,2
received a Buy rating from Wells Fargo,2
taking a small chill pill today,0
Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1,2
companies shld be worried about iCloud,0
Sector Stocks Leading Today,2
held the trend line,2
Multi-year stock breakouts,2
Moved Upper Bollinger Band,2
Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1,2
Miles beyond the competition,2
Slips on Downgrade,0
add in,2
Buy the dip',2
Price experiencing early rejection,0
In Play Longs,2
Will be adding on dips,2
Moved Upper Bollinger Band,2
Yahoo extends bidding deadline as interest grows,2
Sold some $TSLA Puts this morning,0
Top holdings,2
short,0
"will close below , monday will be freewater fall",0
"famous lunch hour fade down routine, rise later in the day",2
$AAPL +1.44%,2
"weak hands being flushed from metals and miners, Fear selling, Guess who is buying? Mr Greed.",2
"Can make HOD, LONGS",2
13F Shows New Stakes in ,2
Omg OMG so excited!!!!,2
Stay long,2
I hope it gets resolved to the upside,2
Best outperformers ranked,2
shorts are trapped,2
they want the stock too keep going up,0
"what's a great move, still hold it since back in at the day before yesterday, Marry Christmas:-)",2
No edge offered,2
"goes deep into #machinelearning and #AI territory with its new $125,000 supercomputer",2
$CHK +13.56%,2
Slips on Downgrade,0
Same sellers we saw yesterday,0
,2
No need for $FB at all unless you want your content censored,0
Ross Stores Upgraded to Outperform at RBC Capital Markets,2
upgraded,2
mrkt needs to washout,0
LONGS,2
"downgraded to Neutral at Wedbush, PT Lowered to",0
"Long tech, calls",2
$TFM will have a way to go price wise to compete,0
Nice day rally!,2
$SQNS drops to $5.15,2
soars pre-market,2
China February Retail Sales: E-Commerce Remains Resilient,2
Double bottom with handle buy point,2
Torture.......,0
high-flyers have been falling,0
trails $MSFT $ORCL $GOOG $CRM $ADBE,2
Quality Stocks With High Cash Returns,2
running again,2
don't look for a dividend at the Feb Shareholders meeting,0
make a ton of money,2
Unusual Call Activity,2
breaks major support,0
in the $3s,1
Sanofi often on the wrong end of business.,0
"OPENING BUYER, Calls",2
Notable gainers among liquid option names this morning,2
Receives a Sell from Compass Point,0
,1
"still have positive market bias, Sharp Rally In Low-Quality Stocks Points To Ongoing Market Gains",2
Stochastic Overbought,0
Earnings will drive stock prices,2
Why The Coal & Shipping Sectors Could Rise Again,2
long,2
"anyone long before the flush please accept my condolences, Congrats. to all that were short",0
thinking that last entry was good but needs a push,2
no position,0
"waiting for price to enter buy/support zone, strong support",2
downgrade,0
gotta hold,2
still in massive weekly & monthly uptrend,2
Aggressive Buy,2
keeps Outperform rated,2
Stochastic Overbought,0
Good to load up Be confident,2
"Worst performers today,  $RIG -13%",0
Insiders Are Selling,0
Pie In The Sky,2
Small caps threatening descending triangle breakdown,0
Amazon has been selling surveillance cameras infected with malware,0
"$HTZ, lower",0
"Don't hang your bull hat yet, Next week we will pop higher",2
Alphabet Inc was just upgraded to buy,2
Today I bought more,2
brings upscale concept,2
looking for a sharp move up in equities,2
I'm betting over 52%,0
careful can reverse fast,0
#OwnItDon'tTradeIt,2
TOP 5 STOCK PICKS,2
Major skin in the game...positive.,2
100.0% increased bearish conversations,0
"Another Sell Rating, Sell Rating",0
sold today,0
Buy Call!,2
"Long, buying point",2
"UPGRADE today by MS to overweight, Excellent company and leadership",2
Buy the dip',2
So both call/put buyers are crushed,0
Buy stop above 80,2
Airplane And Hospitality Industries Set Their Sights On #Cuba,2
nice bounce,2
overbought,0
